NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,1,1,1,2,1.0,122.6337890625,122.6337890625,0.0,,0.0,0.0,0.0,,122.6337890625,122.6337890625,0.0,,0.0
2,['3'],3,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,TMT_A,1,2,None,2,0.0,,,,'--',,,,'--',,,,'--',
3,['1'],1,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,TMT_A,1,3,None,2,0.0,,,,'--',,,,'--',,,,'--',
4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,TMT_A,1,4,None,2,0.0,,,,'--',,,,'--',,,,'--',
5,['1'],1,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,TMT_A,1,5,None,2,0.0,,,,'--',,,,'--',,,,'--',
6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,TMT_A,1,6,None,2,0.0,,,,'--',,,,'--',,,,'--',
7,['1'],1,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,TMT_A,1,7,None,2,0.0,,,,'--',,,,'--',,,,'--',
8,['2'],2,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,TMT_A,1,8,None,2,0.0,,,,'--',,,,'--',,,,'--',
9,['3'],3,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,TMT_A,1,9,None,2,0.0,,,,'--',,,,'--',,,,'--',
10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,TMT_A,1,10,None,2,0.0,,,,'--',,,,'--',,,,'--',
11,['3'],3,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,TMT_A,1,11,None,2,0.0,,,,'--',,,,'--',,,,'--',
12,['2'],2,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,TMT_A,1,12,None,2,0.0,,,,'--',,,,'--',,,,'--',
13,['1'],1,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,TMT_A,1,13,None,2,0.0,,,,'--',,,,'--',,,,'--',
14,['2'],2,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,TMT_A,1,14,None,2,0.0,,,,'--',,,,'--',,,,'--',
15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,TMT_A,1,15,None,2,0.0,,,,'--',,,,'--',,,,'--',
16,['2'],2,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,TMT_A,1,16,None,2,0.0,,,,'--',,,,'--',,,,'--',
17,['1'],1,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,TMT_A,1,17,None,2,0.0,,,,'--',,,,'--',,,,'--',
