NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,TMT_A,A1,18,None,2,1.0,97.70515441894531,97.70515441894531,0.0,,1.0,1.0,0.0,3,0.07261620000645053,97.70515441894531,97.70515441894531,0.0,,17.0
19,['2'],2,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,TMT_A,A1,19,None,2,1.0,97.83824157714844,97.83824157714844,0.0,,1.0,1.0,0.0,2,-0.013817200000630692,97.83824157714844,97.83824157714844,0.0,,18.0
20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,TMT_A,A1,20,None,2,1.0,97.88837432861328,97.88837432861328,0.0,,1.0,1.0,0.0,1,3,0.012920100009068847,0.15427539999654982,97.88837432861328,97.88837432861328,0.0,,19.0
21,['1'],1,TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,TMT_A,A1,21,None,2,1.0,98.12213897705078,98.12213897705078,0.0,,1.0,1.0,0.0,2,1,-0.029635400002007373,0.04745909999473952,98.12213897705078,98.12213897705078,0.0,,20.0
22,['3'],3,TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,TMT_A,A1,22,None,2,1.0,98.22225952148438,98.22225952148438,0.0,,1.0,1.0,0.0,3,0.10404340000241064,98.22225952148438,98.22225952148438,0.0,,21.0
23,['1'],1,TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,TMT_A,A1,23,None,2,1.0,98.38919067382812,98.38919067382812,0.0,,1.0,1.0,0.0,2,1,-0.017393699992680922,0.05798430000140797,98.38919067382812,98.38919067382812,0.0,,22.0
24,['3'],3,TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,TMT_A,A1,24,None,2,1.0,98.55231475830078,98.55231475830078,0.0,,1.0,1.0,0.0,3,0.061230999999679625,98.55231475830078,98.55231475830078,0.0,,23.0
25,['1'],1,TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,TMT_A,A1,25,None,2,1.0,98.6861572265625,98.6861572265625,0.0,,1.0,1.0,0.0,2,1,-0.028468100004829466,0.045799200001056306,98.6861572265625,98.6861572265625,0.0,,24.0
None,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,TMT_A,A1,Feedback_last,None,2,1.0,98.80986785888672,98.80986785888672,0.0,,0.0,0.0,0.0,3,2,1,0.09101209999062121,0.12816429999656975,0.21858079999219626,98.80986785888672,98.80986785888672,0.0,,25.0

extraInfo
participant,
session,001
date,2022_Nov_18_0015
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.9428025783916
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['1'],1,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMT_A,A2,26,None,2,1.0,103.06563568115234,103.06563568115234,0.0,,1.0,1.0,0.0,1,0.9186473999870941,103.06563568115234,103.06563568115234,0.0,,0.0
2,['3'],3,TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,TMT_A,A2,27,None,2,1.0,104.04850769042969,104.04850769042969,0.0,,1.0,1.0,0.0,3,0.2150038000108907,104.04850769042969,104.04850769042969,0.0,,1.0
3,['1'],1,TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,TMT_A,A2,28,None,2,1.0,104.32286071777344,104.32286071777344,0.0,,1.0,1.0,0.0,2,1,-0.04942450000089593,0.07344880000164267,104.32286071777344,104.32286071777344,0.0,,2.0
4,['2'],2,TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,TMT_A,A2,29,None,2,1.0,104.48416137695312,104.48416137695312,0.0,,1.0,1.0,0.0,3,2,0.07966440000745934,0.13755480000691023,104.48416137695312,104.48416137695312,0.0,,3.0
5,['1'],1,TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,TMT_A,A2,30,None,2,1.0,104.7288818359375,104.7288818359375,0.0,,1.0,1.0,0.0,3,2,1,0.2967248000059044,0.35023199999704957,0.37050859999726526,104.7288818359375,104.7288818359375,0.0,,4.0
6,['3'],3,TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,TMT_A,A2,31,None,2,1.0,105.19104766845703,105.19104766845703,0.0,,0.0,0.0,0.0,,'--',105.19104766845703,105.19104766845703,0.0,,5.0
7,['2'],2,TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,TMT_A,A2,32,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
8,['1'],1,TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,TMT_A,A2,33,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
9,['3'],3,TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,TMT_A,A2,34,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
10,['2'],2,TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,TMT_A,A2,35,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
11,['1'],1,TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,TMT_A,A2,36,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
12,['2'],2,TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,TMT_A,A2,37,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
13,['1'],1,TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,TMT_A,A2,38,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
14,['3'],3,TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,TMT_A,A2,39,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
15,['1'],1,TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,TMT_A,A2,40,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
16,['3'],3,TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,TMT_A,A2,41,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
17,['1'],1,TMTstop-A_1_2linestimulus14.png,TMTstop-A_1_2greenlinestimulus14.png,TMTstop-A_1_2redlinestimulus14.png,TMT_A,A2,42,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
18,['2'],2,TMTstop-A_1_2linestimulus15.png,TMTstop-A_1_2greenlinestimulus15.png,TMTstop-A_1_2redlinestimulus15.png,TMT_A,A2,43,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
19,['1'],1,TMTstop-A_1_2linestimulus16.png,TMTstop-A_1_2greenlinestimulus16.png,TMTstop-A_1_2redlinestimulus16.png,TMT_A,A2,44,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
20,['2'],2,TMTstop-A_1_2linestimulus17.png,TMTstop-A_1_2greenlinestimulus17.png,TMTstop-A_1_2redlinestimulus17.png,TMT_A,A2,45,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
21,['3'],3,TMTstop-A_1_2linestimulus18.png,TMTstop-A_1_2greenlinestimulus18.png,TMTstop-A_1_2redlinestimulus18.png,TMT_A,A2,46,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
22,['2'],2,TMTstop-A_1_2linestimulus19.png,TMTstop-A_1_2greenlinestimulus19.png,TMTstop-A_1_2redlinestimulus19.png,TMT_A,A2,47,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
23,['3'],3,TMTstop-A_1_2linestimulus20.png,TMTstop-A_1_2greenlinestimulus20.png,TMTstop-A_1_2redlinestimulus20.png,TMT_A,A2,48,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
24,['2'],2,TMTstop-A_1_2linestimulus21.png,TMTstop-A_1_2greenlinestimulus21.png,TMTstop-A_1_2redlinestimulus21.png,TMT_A,A2,49,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
25,['3'],3,TMTstop-A_1_2linestimulus22.png,TMTstop-A_1_2greenlinestimulus22.png,TMTstop-A_1_2redlinestimulus22.png,TMT_A,A2,50,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
None,None,None,TMTstop-A_1_2linestimulus23.png,TMTstop-A_1_2greenlinestimulus23.png,TMTstop-A_1_2redlinestimulus23.png,TMT_A,A2,Feedback_last,None,2,0.0,,,,'--',,,,'--','--',,,,'--',

extraInfo
participant,
session,001
date,2022_Nov_18_0015
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.9428025783916
